N,P_tail_p=0.01,P_tail_p=0.05,P_tail_p=0.1,P_tail_p=0.2,P_tail_p=0.3
172,1.612651766014217e-06,0.24366946504201925,0.9628544180312053,0.9999998716252926,0.9999999999999973
173,1.7065479435141029e-06,0.249419102913925,0.9647038268200196,0.99999989119815,0.999999999999998
174,1.8052080560382322e-06,0.2552163604859983,0.966470409325654,0.999999907817067,0.9999999999999986
175,1.908837269248842e-06,0.2610595719290686,0.9681572801816437,0.9999999219228796,0.9999999999999989
176,2.0176479431643912e-06,0.26694705012549624,0.969767475089634,0.9999999338914477,0.9999999999999992
177,2.1318598215636086e-06,0.27287708840526936,0.9713039502307524,0.9999999440431007,0.9999999999999994
178,2.251700225497366e-06,0.27884796227798936,0.9727695819072804,0.9999999526507298,0.9999999999999996
179,2.3774042492430425e-06,0.28485793115820934,0.9741671663988266,0.9999999599467202,0.9999999999999997
180,2.509214959478534e-06,0.29090524008176577,0.9754994200176912,0.9999999661288849,0.9999999999999998
181,2.6473835982310234e-06,0.2969881214107576,0.9767689793486091,0.999999971365542,0.9999999999999998
182,2.7921697874910834e-06,0.30310479652490785,0.9779784016585888,0.9999999757998574,0.9999999999999999
183,2.9438417384897164e-06,0.30925347749721477,0.9791301654630928,0.9999999795535571,0.9999999999999999
184,3.1026764631958414e-06,0.31543236875175706,0.9802266712353576,0.9999999827300983,0.9999999999999999
185,3.268959988811382e-06,0.32163966870172045,0.9812702422462026,0.9999999854173791,1.0
186,3.4429875757080453e-06,0.32787357136575623,0.9822631255222353,0.9999999876900509,1.0
187,3.625063938472728e-06,0.3341322679608405,0.9832074929109162,0.9999999896114916,1.0
188,3.8155034698394985e-06,0.34041394846997597,0.9841054422415095,0.9999999912354889,1.0
189,4.014630467508162e-06,0.34671680318307563,0.9849589985714893,0.9999999926076755,1.0
190,4.222779364182472e-06,0.35303902420953714,0.9857701155085258,0.9999999937667514,1.0
191,4.4402949613830955e-06,0.3593788069610744,0.9865406765987106,0.9999999947455267,1.0
192,4.667532664481833e-06,0.36573435160342926,0.9872724967722064,0.9999999955718076,1.0
193,4.904858722731831e-06,0.3721038644757668,0.9879673238380311,0.9999999962691525,1.0
194,5.1526504710741605e-06,0.3784855594765504,0.9886268400201828,0.9999999968575134,1.0
195,5.411296575386082e-06,0.384877659414834,0.9892526635278114,0.9999999973537831,1.0
196,5.681197280393846e-06,0.3912783973260082,0.9898463501526159,0.999999997772259,1.0
197,5.962764661138209e-06,0.3976860177510634,0.9904093948871079,0.9999999981250388,1.0
198,6.25642287643835e-06,0.40409877797859983,0.9909432335578321,0.9999999984223549,1.0
199,6.562608426241567e-06,0.41051494924881216,0.9914492444680612,0.9999999986728594,1.0
200,6.881770411193422e-06,0.41693281791882786,0.9919287500448972,0.9999999988838664,1.0
